zeit,sport,fleissig,entmutigen,talente,einkommen,energie,megacity,geleebohnen,soziale_medien,studium,buch,alter,geschlecht,buch__Ja,buch__Nein,geschlecht__Männlich,geschlecht__Weiblich,entmutigen_orig,energie_orig,sport_qm,fleissig_qm,talente_qm,entmutigen_qm
2024/04/16 10:49:54 AM OEZ,trifft völlig zu,trifft eher zu,trifft eher nicht zu,trifft eher zu,80,82,3,2000.0,40,3,Ja,21,Männlich,True,False,True,False,2,ca. 82%,5,4,4,2
2024/04/16 10:50:21 AM OEZ,trifft eher nicht zu,trifft eher zu,trifft eher nicht zu,trifft überhaupt nicht zu,23,82,3,500.0,240,120,Ja,24,Weiblich,True,False,False,True,2,ca. 82%,2,4,1,2
2024/04/16 10:50:22 AM OEZ,teils teils,trifft eher zu,trifft eher zu,trifft eher nicht zu,37,62,2,756.0,240,30,Ja,19,Weiblich,True,False,False,True,4,ca. 62%,3,4,2,4
2024/04/16 10:50:24 AM OEZ,teils teils,trifft eher nicht zu,teils teils,teils teils,37,62,3,1.0,1000,60,Nein,20,Männlich,False,True,True,False,3,ca. 62%,3,2,3,3
2024/04/16 10:50:29 AM OEZ,trifft eher zu,trifft völlig zu,trifft eher nicht zu,trifft eher nicht zu,65,82,3,350.0,90,2,Ja,22,Weiblich,True,False,False,True,2,ca. 82%,4,5,2,2
2024/04/16 10:50:29 AM OEZ,trifft eher nicht zu,trifft völlig zu,trifft eher zu,teils teils,61,62,4,7832.0,180,40,Ja,20,Weiblich,True,False,False,True,4,ca. 62%,2,5,3,4
2024/04/16 10:50:41 AM OEZ,trifft eher zu,trifft eher zu,trifft völlig zu,trifft eher nicht zu,65,62,2,800.0,130,30,Nein,27,Männlich,False,True,True,False,5,ca. 62%,4,4,2,5
2024/04/16 10:50:43 AM OEZ,trifft eher zu,trifft eher zu,teils teils,trifft eher nicht zu,50,82,4,1000.0,60,120,Ja,19,Weiblich,True,False,False,True,3,ca. 82%,4,4,2,3
2024/04/16 10:50:59 AM OEZ,teils teils,trifft eher zu,trifft eher nicht zu,trifft überhaupt nicht zu,70,62,3,20000.0,120,60,Ja,21,Weiblich,True,False,False,True,2,ca. 62%,3,4,1,2
2024/04/16 10:51:11 AM OEZ,trifft völlig zu,teils teils,trifft eher zu,trifft eher nicht zu,70,82,3,254.0,60,100,Nein,20,Männlich,False,True,True,False,4,ca. 82%,5,3,2,4
2024/04/16 10:51:18 AM OEZ,trifft eher zu,trifft eher zu,teils teils,trifft überhaupt nicht zu,40,82,3,900.0,100,40,Nein,21,Männlich,False,True,True,False,3,ca. 82%,4,4,1,3
2024/04/16 10:51:23 AM OEZ,trifft eher nicht zu,teils teils,trifft eher zu,trifft überhaupt nicht zu,31,82,2,5843.0,187,60,Nein,21,Männlich,False,True,True,False,4,ca. 82%,2,3,1,4
2024/04/16 10:51:38 AM OEZ,trifft eher nicht zu,trifft völlig zu,teils teils,teils teils,65,62,2,1152.0,240,30,Nein,20,Weiblich,False,True,False,True,3,ca. 62%,2,5,3,3
2024/04/16 10:51:51 AM OEZ,trifft eher nicht zu,trifft eher zu,teils teils,trifft eher nicht zu,9,82,4,500.0,250,100,Ja,20,Weiblich,True,False,False,True,3,ca. 82%,2,4,2,3
2024/04/16 10:51:55 AM OEZ,trifft völlig zu,trifft völlig zu,trifft eher zu,trifft eher zu,61,62,3,400.0,3,2,Nein,26,Männlich,False,True,True,False,4,ca. 62%,5,5,4,4
2024/04/16 10:52:00 AM OEZ,trifft eher zu,trifft völlig zu,trifft völlig zu,trifft eher nicht zu,37,62,3,1120.0,120,100,Ja,24,Weiblich,True,False,False,True,5,ca. 62%,4,5,2,5
2024/04/16 10:52:01 AM OEZ,trifft eher zu,teils teils,trifft eher zu,trifft überhaupt nicht zu,64,62,3,850.0,280,30,Nein,22,Männlich,False,True,True,False,4,ca. 62%,4,3,1,4
2024/04/16 10:52:08 AM OEZ,trifft völlig zu,trifft völlig zu,trifft eher zu,trifft eher nicht zu,48,62,1,260.0,5,20,Ja,20,Männlich,True,False,True,False,4,ca. 62%,5,5,2,4
2024/04/16 10:52:08 AM OEZ,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,65,82,3,500.0,120,100,Ja,19,Weiblich,True,False,False,True,4,ca. 82%,4,4,2,4
2024/04/16 10:52:14 AM OEZ,trifft völlig zu,teils teils,trifft eher zu,teils teils,61,82,2,1500.0,100,100,Nein,20,Männlich,False,True,True,False,4,ca. 82%,5,3,3,4
2024/04/16 10:52:15 AM OEZ,trifft eher zu,trifft eher nicht zu,trifft eher zu,trifft überhaupt nicht zu,62,82,3,2024.0,60,90,Nein,21,Weiblich,False,True,False,True,4,ca. 82%,4,2,1,4
2024/04/16 10:52:23 AM OEZ,trifft völlig zu,trifft völlig zu,teils teils,teils teils,30,82,4,1000.0,90,90,Ja,21,Weiblich,True,False,False,True,3,ca. 82%,5,5,3,3
2024/04/16 10:52:27 AM OEZ,trifft eher zu,trifft völlig zu,trifft eher nicht zu,trifft eher nicht zu,65,62,4,350.0,90,120,Ja,22,Weiblich,True,False,False,True,2,ca. 62%,4,5,2,2
2024/04/16 10:52:32 AM OEZ,trifft völlig zu,trifft eher nicht zu,teils teils,trifft eher nicht zu,60,62,3,1000.0,60,60,Ja,21,Weiblich,True,False,False,True,3,ca. 62%,5,2,2,3
2024/04/16 10:52:44 AM OEZ,trifft völlig zu,trifft eher zu,teils teils,trifft eher nicht zu,75,62,2,50.0,90,2,Nein,22,Männlich,False,True,True,False,3,ca. 62%,5,4,2,3
2024/04/16 10:52:45 AM OEZ,trifft völlig zu,trifft eher zu,trifft eher zu,teils teils,55,62,3,87.0,120,120,Nein,22,Weiblich,False,True,False,True,4,ca. 62%,5,4,3,4
2024/04/16 10:53:16 AM OEZ,teils teils,teils teils,trifft eher zu,trifft eher nicht zu,9,82,3,1000.0,180,180,Nein,21,Weiblich,False,True,False,True,4,ca. 82%,3,3,2,4
2024/04/16 10:53:35 AM OEZ,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,48%,42,3,108.0,240,120,Nein,20,Weiblich,False,True,False,True,4,ca. 42%,4,4,2,4
2024/04/16 10:53:38 AM OEZ,trifft völlig zu,teils teils,trifft eher zu,trifft eher nicht zu,65,82,3,600.0,120,240,Nein,27,Männlich,False,True,True,False,4,ca. 82%,5,3,2,4
2024/04/16 10:53:40 AM OEZ,trifft eher zu,teils teils,teils teils,trifft eher nicht zu,48,62,3,2000.0,600,120,Nein,22,Weiblich,False,True,False,True,3,ca. 62%,4,3,2,3
2024/04/16 3:55:54 PM OEZ,teils teils,trifft eher zu,teils teils,teils teils,50,62,2,1000.0,90,90,Ja,23,Weiblich,True,False,False,True,3,ca. 62%,3,4,3,3
