"Zeitstempel","Ich bin sportlich","Ich bin fleißig.","Von Rückschlägen lasse ich mich nicht entmutigen.","Meine Fähigkeiten und Talente sind vorgegeben und ich kann daran nicht viel ändern.","1990 lebten 58 % der Weltbevölkerung in Ländern mit niedrigem Einkommen. Wie hoch ist der Anteil heute? Geben Sie eine Zahl ein (z. B. 9, 37 oder 61)","Wie viel der weltweit verbrauchten Energie stammt aus Erdgas, Kohle und Öl?","Welcher Anteil der Weltbevölkerung lebt in Megacitys (Städte mit mindestens 10 Millionen Einwohnern)?","Wie viele Geleebohnen befinden sich in diesem sechseckigen Glas?","Wie viele Minuten verbringen Sie an einem typischen Tag in sozialen Medien (Facebook, Instagram, Snapchat, etc.)?","Wie viele Minuten investieren Sie ca. pro Tag in Ihr Studium (abgesehen von Lehrveranstaltungen)?","Lesen Sie zur Zeit ein Buch?","Wie alt sind Sie?","Sie sind ..."
"2024/04/16 10:49:54 AM OEZ","trifft völlig zu","trifft eher zu","2","trifft eher zu","80","ca. 82%","3","2000","40","3","Ja","21","Männlich"
"2024/04/16 10:50:21 AM OEZ","trifft eher nicht zu","trifft eher zu","2","trifft überhaupt nicht zu","23","ca. 82%","3","500","240","120","Ja","24","Weiblich"
"2024/04/16 10:50:22 AM OEZ","teils teils","trifft eher zu","4","trifft eher nicht zu","37","ca. 62%","2","756","240","30","Ja","19","Weiblich"
"2024/04/16 10:50:24 AM OEZ","teils teils","trifft eher nicht zu","3","teils teils","37","ca. 62%","3","1","1000","60","Nein","20","Männlich"
"2024/04/16 10:50:29 AM OEZ","trifft eher zu","trifft völlig zu","2","trifft eher nicht zu","65","ca. 82%","3","350","90","2","Ja","22","Weiblich"
"2024/04/16 10:50:29 AM OEZ","trifft eher nicht zu","trifft völlig zu","4","teils teils","61","ca. 62%","4","7832","180","40","Ja","20","Weiblich"
"2024/04/16 10:50:41 AM OEZ","trifft eher zu","trifft eher zu","5","trifft eher nicht zu","65","ca. 62%","2","800","130","30","Nein","27","Männlich"
"2024/04/16 10:50:43 AM OEZ","trifft eher zu","trifft eher zu","3","trifft eher nicht zu","50","ca. 82%","4","1000","60","120","Ja","19","Weiblich"
"2024/04/16 10:50:59 AM OEZ","teils teils","trifft eher zu","2","trifft überhaupt nicht zu","70","ca. 62%","3","20000","120","60","Ja","21","Weiblich"
"2024/04/16 10:51:11 AM OEZ","trifft völlig zu","teils teils","4","trifft eher nicht zu","70","ca. 82%","3","254","60","100","Nein","20","Männlich"
"2024/04/16 10:51:18 AM OEZ","trifft eher zu","trifft eher zu","3","trifft überhaupt nicht zu","40","ca. 82%","3","900","100","40","Nein","21","Männlich"
"2024/04/16 10:51:23 AM OEZ","trifft eher nicht zu","teils teils","4","trifft überhaupt nicht zu","31","ca. 82%","2","5843","187","60","Nein","21","Männlich"
"2024/04/16 10:51:38 AM OEZ","trifft eher nicht zu","trifft völlig zu","3","teils teils","65","ca. 62%","2","1152","240","30","Nein","20","Weiblich"
"2024/04/16 10:51:51 AM OEZ","trifft eher nicht zu","trifft eher zu","3","trifft eher nicht zu","9","ca. 82%","4","500","250 ","100","Ja","20","Weiblich"
"2024/04/16 10:51:55 AM OEZ","trifft völlig zu","trifft völlig zu","4","trifft eher zu","61","ca. 62%","3","400","3","2","Nein","26","Männlich"
"2024/04/16 10:52:00 AM OEZ","trifft eher zu","trifft völlig zu","5","trifft eher nicht zu","37","ca. 62%","3","1120","120","100","Ja","24","Weiblich"
"2024/04/16 10:52:01 AM OEZ","trifft eher zu","teils teils","4","trifft überhaupt nicht zu","64","ca. 62%","3","850","280","30","Nein","22","Männlich"
"2024/04/16 10:52:08 AM OEZ","trifft völlig zu","trifft völlig zu","4","trifft eher nicht zu","48","ca. 62%","1","260","5","20","Ja","20","Männlich"
"2024/04/16 10:52:08 AM OEZ","trifft eher zu","trifft eher zu","4","trifft eher nicht zu","65","ca. 82%","3","500","120","100","Ja","19","Weiblich"
"2024/04/16 10:52:14 AM OEZ","trifft völlig zu","teils teils","4","teils teils","61","ca. 82%","2","1500","100","100","Nein","20","Männlich"
"2024/04/16 10:52:15 AM OEZ","trifft eher zu","trifft eher nicht zu","4","trifft überhaupt nicht zu","62","ca. 82%","3","2024","60","90","Nein","21","Weiblich"
"2024/04/16 10:52:23 AM OEZ","trifft völlig zu","trifft völlig zu","3","teils teils","30","ca. 82%","4","1000","90","90","Ja","21","Weiblich"
"2024/04/16 10:52:27 AM OEZ","trifft eher zu","trifft völlig zu","2","trifft eher nicht zu","65","ca. 62%","4","350","90","120","Ja","22","Weiblich"
"2024/04/16 10:52:32 AM OEZ","trifft völlig zu","trifft eher nicht zu","3","trifft eher nicht zu","60","ca. 62%","3","1000","60","60","Ja","21","Weiblich"
"2024/04/16 10:52:44 AM OEZ","trifft völlig zu","trifft eher zu","3","trifft eher nicht zu","75","ca. 62%","2","50.000","90","2","Nein","22","Männlich"
"2024/04/16 10:52:45 AM OEZ","trifft völlig zu","trifft eher zu","4","teils teils","55","ca. 62%","3","87","120","120","Nein","22","Weiblich"
"2024/04/16 10:53:16 AM OEZ","teils teils","teils teils","4","trifft eher nicht zu","9","ca. 82%","3","1000","180","180","Nein","21","Weiblich"
"2024/04/16 10:53:35 AM OEZ","trifft eher zu","trifft eher zu","4","trifft eher nicht zu","48%","ca. 42%","3","108","240","120","Nein","20","Weiblich"
"2024/04/16 10:53:38 AM OEZ","trifft völlig zu","teils teils","4","trifft eher nicht zu","65","ca. 82%","3","600","120","240","Nein","27","Männlich"
"2024/04/16 10:53:40 AM OEZ","trifft eher zu","teils teils","3","trifft eher nicht zu","48","ca. 62%","3","2000","600","120","Nein","22","Weiblich"
"2024/04/16 3:55:54 PM OEZ","teils teils","trifft eher zu","3","teils teils","50","ca. 62%","2","1000","90","90","Ja","23","Weiblich"